submitted_id	current_id	converted_id	current_symbol
FBgn0034271	FBgn0034271	FBgn0034271	Vps54L
FBgn0001223	FBgn0001223	FBgn0001223	Hsp22
FBgn0025879	FBgn0025879	FBgn0025879	Timp
FBgn0029997	FBgn0029997	FBgn0029997	CG2258
FBgn0032577	FBgn0032577	FBgn0032577	CG13244
FBgn0035649	FBgn0035649	FBgn0035649	CG10483
FBgn0024983	FBgn0024983	FBgn0024983	CG4293
FBgn0033544	FBgn0033544	FBgn0033544	CG7220
FBgn0034022	FBgn0034022	FBgn0034022	CG12964
FBgn0032473	FBgn0032473	FBgn0032473	CG5204
FBgn0036846	FBgn0036846	FBgn0036846	MESR6
FBgn0003079	FBgn0003079	FBgn0003079	Raf
FBgn0050470	FBgn0263980	FBgn0263980	CG43729
FBgn0037884	FBgn0037884	FBgn0037884	Arfip
FBgn0038237	FBgn0038237	FBgn0038237	Pde6
FBgn0029858	FBgn0029858	FBgn0029858	CG15896
FBgn0038063	FBgn0038063	FBgn0038063	Octbeta2R
FBgn0047178	FBgn0047178	FBgn0047178	CG32147
FBgn0035727	FBgn0035727	FBgn0035727	CG10063
FBgn0038597	FBgn0038597	FBgn0038597	CG8064
FBgn0029980	FBgn0029980	FBgn0029980	CG10778
FBgn0054033	FBgn0054033	FBgn0054033	CG34033
FBgn0051496	FBgn0051496	FBgn0051496	CG31496
FBgn0261597	FBgn0261597	FBgn0261597	RpS26
FBgn0039925	FBgn0039925	FBgn0039925	Kif3C
FBgn0030541	FBgn0030541	FBgn0030541	CG11584
FBgn0052797	FBgn0052797	FBgn0052797	CG32797
FBgn0039979	FBgn0039979	FBgn0039979	CR40282
FBgn0013325	FBgn0013325	FBgn0013325	RpL11
FBgn0041579	FBgn0041579	FBgn0041579	AttC
FBgn0259978	FBgn0259978	FBgn0259978	vlc
FBgn0039331	FBgn0039331	FBgn0039331	ND-49L
FBgn0038400	FBgn0038400	FBgn0038400	CG5903
FBgn0038200	FBgn0038200	FBgn0038200	CG9920
FBgn0012037	FBgn0012037	FBgn0012037	Ance
FBgn0039150	FBgn0039150	FBgn0039150	CG13605
FBgn0003567	FBgn0003567	FBgn0003567	su(Hw)
FBgn0036573	FBgn0266724	FBgn0266724	Trs20
FBgn0036837	FBgn0036837	FBgn0036837	CG18135
FBgn0032750	FBgn0032750	FBgn0032750	CG10495
FBgn0038619	FBgn0038619	FBgn0038619	CG7685
FBgn0035065	FBgn0035065	FBgn0035065	CG3589
FBgn0051103	FBgn0051103	FBgn0051103	CG31103
FBgn0030078	FBgn0030078	FBgn0030078	CG10970
FBgn0001108	FBgn0001108	FBgn0001108	DCTN1-p150
FBgn0031775	FBgn0031775	FBgn0031775	CG9150
FBgn0031974	FBgn0031974	FBgn0031974	CG12560
FBgn0039620	FBgn0039620	FBgn0039620	wat
FBgn0040259	FBgn0040259	FBgn0040259	Ugt86Da
FBgn0039860	FBgn0039860	FBgn0039860	CG1792
FBgn0039836	FBgn0039836	FBgn0039836	CG1750
FBgn0036760	FBgn0036760	FBgn0036760	CG5567
FBgn0011217	FBgn0011217	FBgn0011217	eff
FBgn0030479	FBgn0030479	FBgn0030479	Rbp1-like
FBgn0261844	FBgn0261844	FBgn0261844	pre-mod(mdg4)-V
FBgn0032269	FBgn0032269	FBgn0032269	w-cup
FBgn0034191	FBgn0034191	FBgn0034191	CG6984
FBgn0027930	FBgn0027930	FBgn0027930	MP1
FBgn0028703	FBgn0028703	FBgn0028703	Nhe3
FBgn0031273	FBgn0031273	FBgn0031273	CG2839
FBgn0035257	FBgn0035257	FBgn0035257	CG12011
FBgn0052638	FBgn0052638	FBgn0052638	CG32638
FBgn0029708	FBgn0029708	FBgn0029708	CG3556
FBgn0028984	FBgn0028984	FBgn0028984	Spn88Ea
FBgn0033374	FBgn0033374	FBgn0033374	CG13741
FBgn0032934	FBgn0032934	FBgn0032934	CG8679
FBgn0052790	FBgn0263772	FBgn0263772	CG43689
FBgn0015270	FBgn0015270	FBgn0015270	Orc2
FBgn0033081	FBgn0033081	FBgn0033081	geminin
FBgn0003866	FBgn0003866	FBgn0003866	tsh
FBgn0085459	FBgn0085459	FBgn0085459	CG34430
FBgn0005670	FBgn0005670	FBgn0005670	Cyp4d1
FBgn0004449	FBgn0004449	FBgn0004449	Ten-m
FBgn0051719	FBgn0051719	FBgn0051719	RluA-1
FBgn0039783	FBgn0039783	FBgn0039783	PH4alphaNE2
FBgn0039339	FBgn0039339	FBgn0039339	CG5116
FBgn0025679	FBgn0025679	FBgn0025679	Klf15
FBgn0034946	FBgn0034946	FBgn0034946	CG3065
FBgn0014454	FBgn0014454	FBgn0014454	Acp1
FBgn0051530	FBgn0264907	FBgn0264907	CG44098
FBgn0005558	FBgn0005558	FBgn0005558	ey
FBgn0050036	FBgn0050036	FBgn0050036	CG30036
FBgn0000163	FBgn0000163	FBgn0000163	baz
FBgn0032178	FBgn0032178	FBgn0032178	Spn31A
FBgn0032770	FBgn0032770	FBgn0032770	CG13086
FBgn0033812	FBgn0033812	FBgn0033812	Pex13
FBgn0000056	FBgn0000056	FBgn0000056	Adhr
FBgn0039019	FBgn0039019	FBgn0039019	HP1c
FBgn0025680	FBgn0025680	FBgn0025680	cry
FBgn0260466	FBgn0260466	FBgn0260466	Indy-2
FBgn0039311	FBgn0039311	FBgn0039311	CG10513
FBgn0011224	FBgn0011224	FBgn0011224	heph
FBgn0037667	FBgn0037667	FBgn0037667	CG16734
FBgn0014395	FBgn0014395	FBgn0014395	tilB
FBgn0031909	FBgn0031909	FBgn0031909	CG5181
FBgn0035593	FBgn0035593	FBgn0035593	CG4603
FBgn0035813	FBgn0035813	FBgn0035813	CG8492
FBgn0037665	FBgn0037665	FBgn0037665	St2
FBgn0050049	FBgn0050049	FBgn0050049	CG30049
FBgn0004795	FBgn0004795	FBgn0004795	retn
FBgn0053966	FBgn0053966	FBgn0053966	CG33966
FBgn0037838	FBgn0037838	FBgn0037838	CG4089
FBgn0061200	FBgn0061200	FBgn0061200	Nup153
FBgn0034986	FBgn0034986	FBgn0034986	mRpS17
FBgn0035020	FBgn0035020	FBgn0035020	CG13585
FBgn0036899	FBgn0036899	FBgn0036899	tey
FBgn0061197	FBgn0061197	FBgn0061197	CG13164
FBgn0029775	FBgn0263511	FBgn0263511	Vsx1
FBgn0015509	FBgn0015509	FBgn0015509	Cul1
FBgn0086604	FBgn0086604	FBgn0086604	CG12484
FBgn0036608	FBgn0036608	FBgn0036608	CG13040
FBgn0034293	FBgn0034293	FBgn0034293	CG14495
FBgn0037149	FBgn0037149	FBgn0037149	CG14561
